index,Start ts,End ts,Label
8,541.0725132681529,545.097916290919,collect-PLA plastic
6,550.1066900946299,554.1131393171946,collect-Aluminium Metal
7,577.2873272158305,581.3198272444407,collect-Bark Wood
8,586.3267943121592,590.3571383215586,collect-PLA plastic
8,604.4293092943827,608.4655191160838,collect-PLA plastic
5,613.4719781138102,617.5070060946147,collect-Textile
5,622.5099922873179,626.5150462843577,collect-Textile
5,631.5450302817027,635.5767420984904,collect-Textile
5,640.621533320109,644.645192310969,collect-Textile
8,649.6554531313578,653.6904312826792,collect-PLA plastic
6,658.7249082781474,662.7642561651866,collect-Aluminium Metal
7,667.785407231013,671.7943762995402,collect-Bark Wood
7,676.8325401999156,680.8659061648051,collect-Bark Wood
6,685.8694411970774,689.8705982424418,collect-Aluminium Metal
7,694.8733042933146,698.909277126948,collect-Bark Wood
6,703.9389781214396,707.9772271372477,collect-Aluminium Metal
8,722.0552891947428,726.0560721613566,collect-PLA plastic
5,731.05892913119,735.0887502886454,collect-Textile
5,749.1603442885081,753.1653961397807,collect-Textile
7,758.1995221831004,762.2044181086222,collect-Bark Wood
5,767.2311431624095,771.2379333235423,collect-Textile
6,785.3087021567027,789.3491861082713,collect-Aluminium Metal
8,794.3864692904154,798.4153031565348,collect-PLA plastic
5,812.4918922640483,816.519948170344,collect-Textile
7,821.5274781443278,825.5598460890452,collect-Bark Wood
6,830.5661081530253,834.5981961943309,collect-Aluminium Metal
8,839.6334411360423,843.635746166865,collect-PLA plastic
8,848.6664892889659,852.672144100825,collect-PLA plastic
7,866.7505001284281,870.7764882303874,collect-Bark Wood
6,875.7792491175334,879.7895721651713,collect-Aluminium Metal
6,884.7916762091319,888.7918252207438,collect-Aluminium Metal
7,893.827410147349,897.8605801321665,collect-Bark Wood
8,902.8621741987864,906.8986491419474,collect-PLA plastic
8,911.907845184962,915.9296311594645,collect-PLA plastic
8,920.9407002188365,924.9683272101084,collect-PLA plastic
6,930.0098532892863,934.0472501970927,collect-Aluminium Metal
5,939.070919201533,943.0734502531687,collect-Textile
7,957.1267601706187,961.1520642496745,collect-Bark Wood
5,966.1604642130534,970.162175104777,collect-Textile
5,975.16426532046,979.1961793162028,collect-Textile
8,984.1988212324778,988.2378041006724,collect-PLA plastic
6,1002.3077022291819,1006.3093682982127,collect-Aluminium Metal
6,1020.3516623236338,1024.3832651831308,collect-Aluminium Metal
5,1029.4228071428934,1033.4502231337228,collect-Textile
7,1038.4520313002267,1042.49514715449,collect-Bark Wood
7,1047.5309812285104,1051.56053321139,collect-Bark Wood
7,1056.5999702669778,1060.601066277186,collect-Bark Wood
6,1074.7071861483255,1078.7091402269998,collect-Aluminium Metal
